,0
0,100.0
1,99.80000005005004
2,99.60020030025018
3,99.40060075060043
4,99.20120140110073
5,99.00200225175118
6,98.80300330255172
7,98.60420455350237
8,98.40560600460311
9,98.20720765585395
10,98.0090095072549
11,97.8110115588059
12,97.61321381050705
13,97.41561626235828
14,97.21821891435964
15,97.02102176651108
16,96.82402481881262
17,96.62722807126423
18,96.43063152386597
19,96.23423517661782
20,96.03803902951977
21,95.8420430825718
22,95.64624733577395
23,95.4506517891262
24,95.25525644262851
25,95.06006129628095
26,94.8650663500835
27,94.67027160403613
28,94.47567705813888
29,94.28128271239173
30,94.08708856679468
31,93.89309462134769
32,93.69930087605083
33,93.50570733090407
34,93.31231398590741
35,93.11912084106086
36,92.9261278963644
37,92.73333515181801
38,92.54074260742176
39,92.3483502631756
40,92.15615811907955
41,91.9641661751336
42,91.77237443133774
43,91.58078288769198
44,91.3893915441963
45,91.19820040085074
46,91.00720945765529
47,90.81641871460994
48,90.62582817171467
49,90.43543782896953
50,90.24524768637444
51,90.05525774392949
52,89.86546800163462
53,89.67587845948987
54,89.48648911749522
55,89.29729997565066
56,89.10831103395621
57,88.91952229241183
58,88.73093375101757
59,88.54254540977341
60,88.35435726867937
61,88.16636932773541
62,87.97858158694156
63,87.7909940462978
64,87.60360670580411
65,87.41641956546056
66,87.22943262526711
67,87.04264588522375
68,86.8560593453305
69,86.66967300558734
70,86.4834868659943
71,86.29750092655131
72,86.11171518725845
73,85.9261296481157
74,85.74074430912304
75,85.55555917028049
76,85.37057423158804
77,85.18578949304569
78,85.0012049546534
79,84.81682061641125
80,84.6326364783192
81,84.44865254037724
82,84.2648688025854
83,84.08128526494365
84,83.89790192745195
85,83.71471879011041
86,83.53173585291896
87,83.3489531158776
88,83.16637057898635
89,82.98398824224519
90,82.80180610565414
91,82.61982416921316
92,82.4380424329223
93,82.25646089678155
94,82.0750795607909
95,81.89389842495035
96,81.7129174892599
97,81.53213675371951
98,81.35155621832926
99,81.1711758830891
100,80.99099574799907
101,80.81101581305911
102,80.63123607826925
103,80.45165654362951
104,80.27227720913983
105,80.09309807480027
106,79.91411914061082
107,79.73534040657147
108,79.55676187268222
109,79.37838353894307
110,79.20020540535401
111,79.02222747191503
112,78.84444973862618
113,78.66687220548744
114,78.48949487249878
115,78.31231773966023
116,78.13534080697178
117,77.95856407443343
118,77.78198754204514
119,77.605611209807
120,77.42943507771895
121,77.253459145781
122,77.07768341399314
123,76.9021078823554
124,76.72673255086775
125,76.55155741953017
126,76.37658248834272
127,76.20180775730536
128,76.02723322641812
129,75.85285889568097
130,75.67868476509392
131,75.50471083465693
132,75.33093710437008
133,75.15736357423333
134,74.98399024424668
135,74.81081711441014
136,74.63784418472369
137,74.46507145518731
138,74.29249892580106
139,74.12012659656492
