,0
0,-10.0
1,-9.98999499749875
2,-9.9799899949975
3,-9.969984992496249
4,-9.959979989994997
5,-9.949974987493746
6,-9.939969984992496
7,-9.929964982491246
8,-9.919959979989995
9,-9.909954977488745
10,-9.899949974987495
11,-9.889944972486242
12,-9.879939969984992
13,-9.869934967483742
14,-9.859929964982491
15,-9.849924962481241
16,-9.83991995997999
17,-9.829914957478739
18,-9.819909954977488
19,-9.809904952476238
20,-9.799899949974987
21,-9.789894947473737
22,-9.779889944972487
23,-9.769884942471236
24,-9.759879939969984
25,-9.749874937468734
26,-9.739869934967484
27,-9.729864932466233
28,-9.719859929964983
29,-9.709854927463732
30,-9.699849924962482
31,-9.68984492246123
32,-9.67983991995998
33,-9.66983491745873
34,-9.659829914957479
35,-9.649824912456229
36,-9.639819909954978
37,-9.629814907453726
38,-9.619809904952476
39,-9.609804902451225
40,-9.599799899949975
41,-9.589794897448725
42,-9.579789894947474
43,-9.569784892446224
44,-9.559779889944972
45,-9.549774887443721
46,-9.539769884942471
47,-9.52976488244122
48,-9.51975987993997
49,-9.50975487743872
50,-9.499749874937468
51,-9.489744872436217
52,-9.479739869934967
53,-9.469734867433717
54,-9.459729864932466
55,-9.449724862431216
56,-9.439719859929966
57,-9.429714857428714
58,-9.419709854927463
59,-9.409704852426213
60,-9.399699849924962
61,-9.389694847423712
62,-9.379689844922462
63,-9.369684842421211
64,-9.35967983991996
65,-9.349674837418709
66,-9.339669834917459
67,-9.329664832416208
68,-9.319659829914958
69,-9.309654827413707
70,-9.299649824912457
71,-9.289644822411205
72,-9.279639819909955
73,-9.269634817408704
74,-9.259629814907454
75,-9.249624812406203
76,-9.239619809904953
77,-9.229614807403703
78,-9.21960980490245
79,-9.2096048024012
80,-9.19959979989995
81,-9.1895947973987
82,-9.17958979489745
83,-9.169584792396199
84,-9.159579789894947
85,-9.149574787393696
86,-9.139569784892446
87,-9.129564782391196
88,-9.119559779889945
89,-9.109554777388695
90,-9.099549774887445
91,-9.089544772386192
92,-9.079539769884942
93,-9.069534767383692
94,-9.059529764882441
95,-9.049524762381191
96,-9.03951975987994
97,-9.029514757378688
98,-9.019509754877438
99,-9.009504752376188
100,-8.999499749874937
101,-8.989494747373687
102,-8.979489744872437
103,-8.969484742371186
104,-8.959479739869934
105,-8.949474737368684
106,-8.939469734867433
107,-8.929464732366183
108,-8.919459729864933
109,-8.909454727363682
110,-8.899449724862432
111,-8.88944472236118
112,-8.87943971985993
113,-8.86943471735868
114,-8.859429714857429
115,-8.849424712356178
116,-8.839419709854928
117,-8.829414707353678
118,-8.819409704852426
119,-8.809404702351175
120,-8.799399699849925
121,-8.789394697348675
122,-8.779389694847424
123,-8.769384692346174
124,-8.759379689844923
125,-8.749374687343671
126,-8.739369684842421
127,-8.72936468234117
128,-8.71935967983992
129,-8.70935467733867
130,-8.69934967483742
131,-8.689344672336167
132,-8.679339669834917
133,-8.669334667333667
