Stock Symbol,Exchange,Company Name,Last Sale,Market Capitalization,IPO Year,Sector,Industry
NCTY,nasdaq,The9 Limited,1.21,22.9555513,2004.0,Miscellaneous,Business Services
TISA,nasdaq,"Top Image Systems, Ltd.",1.27,22.75729002,1996.0,Technology,Computer peripheral equipment
ARDM,nasdaq,Aradigm Corporation,1.51,22.57614439,1996.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BVSN,nasdaq,"BroadVision, Inc.",4.4,21.8131056,1996.0,Technology,Computer Software: Prepackaged Software
SGMA,nasdaq,"SigmaTron International, Inc.",5.11,21.39461443,1994.0,Technology,Electrical Products
CTIB,nasdaq,CTI Industries Corporation,5.8875,20.7547739625,1997.0,Basic Industries,Specialty Chemicals
SMTX,nasdaq,SMTC Corporation,1.24,20.74422784,2000.0,Technology,Electrical Products
RBCN,nasdaq,"Rubicon Technology, Inc.",0.7598,20.4225813818,2007.0,Technology,Semiconductors
CTHR,nasdaq,Charles & Colvard Ltd,0.92,19.67524512,1997.0,Consumer Durables,Consumer Specialties
DRYS,nasdaq,DryShips Inc.,2.01,19.10198274,2005.0,Transportation,Marine Transportation
SCON,nasdaq,Superconductor Technologies Inc.,1.67,17.67126198,1993.0,Technology,Radio And Television Broadcasting And Communications Equipment
CBLI,nasdaq,"Cleveland BioLabs, Inc.",1.56,17.13997896,2006.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ISIG,nasdaq,"Insignia Systems, Inc.",1.31,15.27567027,1991.0,Consumer Services,Advertising
ISNS,nasdaq,"Image Sensing Systems, Inc.",2.85,14.519248050000002,1995.0,Capital Goods,Industrial Machinery/Components
GNVC,nasdaq,"GenVec, Inc.",5.92,13.45990144,2000.0,Health Care,Major Pharmaceuticals
BONT,nasdaq,"The Bon-Ton Stores, Inc.",0.6032,13.0209213056,1991.0,Consumer Services,Department/Specialty Retail Stores
OPTT,nasdaq,"Ocean Power Technologies, Inc.",1.83,11.55461268,2007.0,Public Utilities,Electric Utilities: Central
DRWI,nasdaq,DragonWave Inc,1.35,11.48051745,2009.0,Public Utilities,Telecommunications Equipment
STAF,nasdaq,"Staffing 360 Solutions, Inc.",1.0,11.389795,1996.0,Technology,Professional Services
SMSI,nasdaq,"Smith Micro Software, Inc.",0.8911,10.9508829514,1995.0,Technology,Computer Software: Prepackaged Software
BASI,nasdaq,"Bioanalytical Systems, Inc.",1.27,10.29674979,1997.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch
RTK,nasdaq,"Rentech, Inc.",0.4025,9.33840089,1991.0,Basic Industries,Agricultural Chemicals
FFHL,nasdaq,"Fuwei Films (Holdings) Co., Ltd.",2.82,9.20966034,2006.0,Capital Goods,Specialty Chemicals
RCON,nasdaq,"Recon Technology, Ltd.",1.36,8.47387712,2009.0,Energy,Oilfield Services/Equipment
QBAK,nasdaq,Qualstar Corporation,4.147,8.468252793,2000.0,Technology,Electronic Components
MOSY,nasdaq,"MoSys, Inc.",1.25,8.29765,2001.0,Technology,Semiconductors
AHPI,nasdaq,"Allied Healthcare Products, Inc.",1.98,7.946803259999999,1992.0,Health Care,Industrial Specialties
CMLS,nasdaq,Cumulus Media Inc.,0.268,7.854108232000001,1998.0,Consumer Services,Broadcasting
GIGA,nasdaq,Giga-tronics Incorporated,0.81,7.735259429999999,1983.0,Capital Goods,Electrical Products
CLWT,nasdaq,Euro Tech Holdings Company Limited,3.6,7.4228724,1997.0,Consumer Durables,Diversified Electronic Products
CHCI,nasdaq,"Comstock Holding Companies, Inc.",2.04,6.974199,2004.0,Capital Goods,Homebuilding
ELTK,nasdaq,Eltek Ltd.,0.67,6.7956505400000005,1997.0,Technology,Electrical Products
DCTH,nasdaq,"Delcath Systems, Inc.",0.0591,6.7053660861,2000.0,Health Care,Medical/Dental Instruments
TAIT,nasdaq,Taitron Components Incorporated,1.17,6.47109099,1995.0,Consumer Non-Durables,Electronic Components
ROSG,nasdaq,Rosetta Genomics Ltd.,2.71,5.0626052,2007.0,Health Care,Major Pharmaceuticals
NURO,nasdaq,"NeuroMetrix, Inc.",0.599,5.055500699,2004.0,Health Care,Medical/Dental Instruments
MTSL,nasdaq,MER Telemanagement Solutions Ltd.,0.56,4.90232792,1997.0,Public Utilities,Telecommunications Equipment
CRDS,nasdaq,"Crossroads Systems, Inc.",3.94,4.828359679999999,1999.0,Technology,Computer peripheral equipment
ACN,nyse,Accenture plc,114.86,73634.67231755999,2001.0,Miscellaneous,Business Services
ATV,nyse,"Acorn International, Inc.",9.38,35.893095280000004,2007.0,Consumer Services,Other Specialty Stores
ACM,nyse,AECOM,32.61,5064.83900937,2007.0,Consumer Services,Military/Government/Technical
ANW,nyse,Aegean Marine Petroleum Network Inc.,11.75,462.9949085,2006.0,Energy,Oil Refining/Marketing
AER,nyse,Aercap Holdings N.V.,43.03,7583.91503662,2006.0,Technology,Diversified Commercial Services
A,nyse,"Agilent Technologies, Inc.",52.33,16866.00635865,1999.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AYR,nyse,Aircastle Limited,22.71,1787.6838496500002,2006.0,Technology,Diversified Commercial Services
ADS,nyse,Alliance Data Systems Corporation,234.91,13137.41245791,2001.0,Miscellaneous,Business Services
NFJ,nyse,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",13.03,1235.26460043,2005.0,Finance,Finance: Consumer Services
AWH,nyse,"Allied World Assurance Company Holdings, AG",53.1,4636.5254784,2006.0,Finance,Property-Casualty Insurers
ALJ,nyse,"Alon USA Energy, Inc.",11.22,805.15973274,2005.0,Energy,Integrated oil Companies
ACH,nyse,Aluminum Corporation of China Limited,12.37,7374.3992504,2001.0,Basic Industries,Aluminum
ACC,nyse,American Campus Communities Inc,48.0,6404.920224,2004.0,Consumer Services,Real Estate Investment Trusts
AEL,nyse,American Equity Investment Life Holding Company,22.52,1988.0621094,2003.0,Finance,Life Insurance
AWK,nyse,American Water Works,78.57,13963.99019751,2008.0,Public Utilities,Water Supply
AIV,nyse,Apartment Investment and Management Company,43.99,6907.194370239999,1994.0,Consumer Services,Real Estate Investment Trusts
ARI,nyse,Apollo Commercial Real Estate Finance,18.72,1715.15024928,2009.0,Consumer Services,Real Estate Investment Trusts
ABR,nyse,Arbor Realty Trust,8.5,436.9110075,2004.0,Consumer Services,Real Estate Investment Trusts
ARC,nyse,"ARC Document Solutions, Inc.",3.48,161.15015219999998,2004.0,Consumer Services,Professional Services
ABG,nyse,Asbury Automotive Group Inc,57.55,1216.93325095,2002.0,Consumer Durables,Automotive Aftermarket
AHT,nyse,Ashford Hospitality Trust Inc,6.4,619.0591296,2003.0,Consumer Services,Real Estate Investment Trusts
AHL,nyse,Aspen Insurance Holdings Limited,50.2,3009.2438192,2003.0,Finance,Property-Casualty Insurers
AIZ,nyse,"Assurant, Inc.",92.68,5132.085953399999,2004.0,Finance,Accident &Health Insurance
AGO,nyse,Assured Guaranty Ltd.,37.67,4676.00663328,2004.0,Finance,Property-Casualty Insurers
AUO,nyse,AU Optronics Corp,4.13,3974.81323043,2002.0,Technology,Semiconductors
AXS,nyse,Axis Capital Holdings Limited,65.04,5599.34101416,2003.0,Finance,Property-Casualty Insurers
BLX,nyse,"Banco Latinoamericano de Comercio Exterior, S.A.",27.6,1080.8069472,1992.0,Finance,Commercial Banks
BSBR,nyse,Banco Santander Brasil SA,7.55,57101.27224835,2009.0,Finance,Commercial Banks
BAS,nyse,"Basic Energy Services, Inc.",33.88,880.84093636,2005.0,Energy,Oilfield Services/Equipment
BZH,nyse,"Beazer Homes USA, Inc.",11.87,398.17473436,1994.0,Capital Goods,Homebuilding
BBG,nyse,Bill Barrett Corporation,4.02,306.7051764,2004.0,Energy,Oil & Gas Production
BLK,nyse,"BlackRock, Inc.",379.0,62094.527337,1999.0,Finance,Investment Bankers/Brokers/Service
BXC,nyse,BlueLinx Holdings Inc.,9.24,83.250552,2004.0,Capital Goods,Wholesale Distributors
BWP,nyse,Boardwalk Pipeline Partners L.P.,18.21,4557.90440022,2005.0,Public Utilities,Natural Gas Distribution
BXP,nyse,"Boston Properties, Inc.",135.52,20849.64792064,1997.0,Consumer Services,Real Estate Investment Trusts
BYD,nyse,Boyd Gaming Corporation,21.38,2420.76713364,1993.0,Consumer Services,Hotels/Resorts
BPI,nyse,"Bridgepoint Education, Inc.",11.1,315.7524537,2009.0,Consumer Services,Other Consumer Services
BKD,nyse,Brookdale Senior Living Inc.,12.93,2397.84408816,2005.0,Health Care,Hospital/Nursing Management
BPL,nyse,Buckeye Partners L.P.,67.62,9498.06390414,1986.0,Energy,Natural Gas Distribution
BVN,nyse,Buenaventura Mining Company Inc.,12.36,3139.27767612,1996.0,Basic Industries,Precious Metals
BBW,nyse,"Build-A-Bear Workshop, Inc.",8.3,132.8250328,2004.0,Consumer Services,Recreational Products/Toys
BG,nyse,Bunge Limited,76.51,10673.81798196,2001.0,Consumer Non-Durables,Packaged Foods
CAB,nyse,Cabela&#39;s Inc,53.39,3658.18087849,2004.0,Consumer Services,Other Specialty Stores
COG,nyse,Cabot Oil & Gas Corporation,24.0,11172.522528,1990.0,Energy,Oil & Gas Production
ELY,nyse,Callaway Golf Company,11.49,1077.69189951,1992.0,Consumer Non-Durables,Recreational Products/Toys
CBM,nyse,Cambrex Corporation,55.0,1869.16642,1987.0,Health Care,Major Pharmaceuticals
CPT,nyse,Camden Property Trust,81.19,7355.0816662,1993.0,Consumer Services,Real Estate Investment Trusts
CCJ,nyse,Cameco Corporation,11.11,4397.25491942,1996.0,Basic Industries,Precious Metals
COF,nyse,Capital One Financial Corporation,81.02,39108.95281882,1994.0,Finance,Major Banks
CSU,nyse,Capital Senior Living Corporation,13.53,406.37380707,1997.0,Health Care,Hospital/Nursing Management
CCL,nyse,Carnival Corporation,57.47,41536.63433486,1987.0,Consumer Services,Marine Transportation
CRI,nyse,"Carter&#39;s, Inc.",88.26,4285.07304342,2003.0,Consumer Non-Durables,Apparel
CBL,nyse,"CBL & Associates Properties, Inc.",9.37,1603.16829253,1993.0,Consumer Services,Real Estate Investment Trusts
CBG,nyse,"CBRE Group, Inc.",32.64,11028.2248224,2004.0,Finance,Real Estate
FUN,nyse,"Cedar Fair, L.P.",68.35,3841.25011015,1987.0,Consumer Services,Services-Misc. Amusement & Recreation
CE,nyse,Celanese Corporation,89.16,12545.874876360002,2005.0,Basic Industries,Major Chemicals
CLS,nyse,"Celestica, Inc.",14.23,1767.1864174,1998.0,Technology,Electrical Products
CEL,nyse,"Cellcom Israel, Ltd.",9.7099,976.8603919222,2007.0,Public Utilities,Telecommunications Equipment
CF,nyse,"CF Industries Holdings, Inc.",28.42,6627.10658778,2005.0,Basic Industries,Agricultural Chemicals
CRL,nyse,"Charles River Laboratories International, Inc.",87.38,4161.46096584,2000.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch
CBI,nyse,Chicago Bridge & Iron Company N.V.,28.94,2913.37752944,1997.0,Basic Industries,Engineering & Construction
CIM,nyse,Chimera Investment Corporation,20.58,3863.68253208,2007.0,Consumer Services,Real Estate Investment Trusts
STV,nyse,"China Digital TV Holding Co., Ltd.",1.27,81.43632684,2007.0,Technology,Computer Software: Prepackaged Software
CEA,nyse,China Eastern Airlines Corporation Ltd.,27.94,8084.486861220001,1997.0,Transportation,Air Freight/Delivery Services
LFC,nyse,China Life Insurance Company Limited,14.6,82532.9386,2003.0,Finance,Life Insurance
ZNH,nyse,China Southern Airlines Company Limited,34.92,6856.5887928,1997.0,Transportation,Air Freight/Delivery Services
CHA,nyse,China Telecom Corp Ltd,49.94,40417.4408,2002.0,Public Utilities,Telecommunications Equipment
CYD,nyse,China Yuchai International Limited,17.64,693.22273524,1994.0,Energy,Industrial Machinery/Components
CMG,nyse,"Chipotle Mexican Grill, Inc.",463.62,13298.1005478,2006.0,Consumer Services,Restaurants
CIEN,nyse,Ciena Corporation,21.66,3060.9333678000003,1997.0,Public Utilities,Telecommunications Equipment
CNK,nyse,Cinemark Holdings Inc,42.05,4894.5477581000005,2007.0,Consumer Services,Movies/Entertainment
BLW,nyse,Citigroup Inc.,15.68,580.2204307200001,2003.0,Finance,Major Banks
CWEI,nyse,"Clayton Williams Energy, Inc.",133.6,2355.2795568,1993.0,Energy,Oil & Gas Production
CCO,nyse,"Clear Channel Outdoor Holdings, Inc.",6.05,2191.92097135,2005.0,Consumer Services,Advertising
CLD,nyse,Cloud Peak Energy Inc,4.34,325.7449279,2009.0,Energy,Coal Mining
CEO,nyse,CNOOC Limited,119.92,1210.63029472,2001.0,Energy,Oil & Gas Production
CIE,nyse,"Cobalt International Energy, Inc.",0.45,201.7393992,2009.0,Energy,Oil & Gas Production
KOF,nyse,Coca Cola Femsa S.A.B. de C.V.,72.98,15128.0242,1993.0,Consumer Non-Durables,Beverages (Production/Distribution)
CNS,nyse,Cohen & Steers Inc,39.9,1846.7849064,2004.0,Finance,Investment Managers
CFX,nyse,Colfax Corporation,38.29,4709.25420889,2008.0,Capital Goods,Fluid Controls
FIX,nyse,"Comfort Systems USA, Inc.",34.95,1301.70712305,1997.0,Capital Goods,Engineering & Construction
CYH,nyse,"Community Health Systems, Inc.",9.1,1043.6440924,2000.0,Health Care,Hospital/Nursing Management
CBD,nyse,Companhia Brasileira de Distribuicao,18.43,4904.66836095,1997.0,Consumer Services,Food Chains
SBS,nyse,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,10.12,6917.11987428,2002.0,Public Utilities,Water Supply
CODI,nyse,Compass Diversified Holdings,16.85,1009.315,2006.0,Consumer Durables,Home Furnishings
CMP,nyse,"Compass Minerals International, Inc.",67.95,2296.4937151500003,2003.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CXO,nyse,Concho Resources Inc.,130.14,19282.96665216,2007.0,Energy,Oil & Gas Production
CCM,nyse,Concord Medical Services Holdings Limited,4.66,206.584324,2009.0,Health Care,Medical/Nursing Services
CNX,nyse,CONSOL Energy Inc.,15.87,3650.40897303,1999.0,Energy,Coal Mining
CLR,nyse,"Continental Resources, Inc.",44.97,16880.880826829998,2007.0,Energy,Oil & Gas Production
CVG,nyse,Convergys Corporation,21.24,2008.5406344,1998.0,Technology,EDP Services
CPA,nyse,"Copa Holdings, S.A.",114.57,4817.60376795,2005.0,Transportation,Air Freight/Delivery Services
CLB,nyse,Core Laboratories N.V.,114.53,5059.06371217,1995.0,Energy,Oilfield Services/Equipment
CPL,nyse,CPFL Energia S.A.,16.27,8280.73645871,2004.0,Public Utilities,Electric Utilities: Central
CRT,nyse,Cross Timbers Royalty Trust,16.26,97.56,1992.0,Energy,Oil & Gas Production
CVI,nyse,CVR Energy Inc.,17.67,1534.3046535,2007.0,Energy,Integrated oil Companies
CYS,nyse,"CYS Investments, Inc.",8.12,1231.86727104,2009.0,Consumer Services,Real Estate Investment Trusts
DAC,nyse,Danaos Corporation,1.8,197.6388336,2006.0,Transportation,Marine Transportation
DCT,nyse,DCT Industrial Trust Inc,50.61,4652.26903449,2006.0,Consumer Services,Real Estate Investment Trusts
DDR,nyse,DDR Corp.,12.65,4637.576829600001,1993.0,Consumer Services,Real Estate Investment Trusts
DECK,nyse,Deckers Outdoor Corporation,56.04,1789.7713356,1993.0,Consumer Non-Durables,Shoe Manufacturing
DK,nyse,"Delek US Holdings, Inc.",22.32,1384.36748856,2006.0,Energy,Integrated oil Companies
DHX,nyse,"DHI Group, Inc.",4.1,206.6527141,2007.0,Miscellaneous,Business Services
DHT,nyse,"DHT Holdings, Inc.",4.5,425.8030635,2005.0,Transportation,Marine Transportation
DO,nyse,"Diamond Offshore Drilling, Inc.",15.23,2089.26079691,1995.0,Energy,Oil & Gas Production
DRH,nyse,Diamondrock Hospitality Company,11.04,2217.79820976,2005.0,Consumer Services,Real Estate Investment Trusts
DSX,nyse,Diana Shipping inc.,5.49,464.98113333,2005.0,Transportation,Marine Transportation
DKS,nyse,Dick&#39;s Sporting Goods Inc,49.66,5601.47607708,2002.0,Consumer Services,Other Specialty Stores
DLR,nyse,"Digital Realty Trust, Inc.",109.61,17478.214288490002,2004.0,Consumer Services,Real Estate Investment Trusts
DGI,nyse,"DigitalGlobe, Inc",32.75,2022.49056175,2009.0,Consumer Services,Telecommunications Equipment
DLB,nyse,Dolby Laboratories,50.95,5193.8777988500005,2005.0,Miscellaneous,Multi-Sector Companies
DG,nyse,Dollar General Corporation,68.74,18910.05050956,2009.0,Consumer Services,Department/Specialty Retail Stores
DPZ,nyse,Domino&#39;s Pizza Inc,174.04,8360.11530188,2004.0,Consumer Non-Durables,Food Distributors
DEI,nyse,"Douglas Emmett, Inc.",38.95,5963.01897315,2006.0,Consumer Services,Real Estate Investment Trusts
DVD,nyse,"Dover Motorsports, Inc.",2.1,77.4714276,1996.0,Consumer Services,Services-Misc. Amusement & Recreation
DRQ,nyse,"Dril-Quip, Inc.",53.2,1996.4633724,1997.0,Energy,Metal Fabrications
DST,nyse,"DST Systems, Inc.",120.97,3806.4311327,1995.0,Technology,EDP Services
DSW,nyse,DSW Inc.,19.58,1570.19413408,2005.0,Consumer Services,Clothing/Shoe/Accessory Stores
DFT,nyse,"Dupont Fabros Technology, Inc.",50.66,3926.04923726,2007.0,Finance,Real Estate
EDR,nyse,Education Realty Trust Inc.,39.74,2908.06427266,2005.0,Consumer Services,Real Estate Investment Trusts
ERJ,nyse,Embraer-Empresa Brasileira de Aeronautica,20.01,3674.63101731,2000.0,Capital Goods,Aerospace
EBS,nyse,"Emergent Biosolutions, Inc.",29.16,1186.45155324,2006.0,Health Care,Major Pharmaceuticals
EIG,nyse,Employers Holdings Inc,36.85,1184.5650652,2007.0,Finance,Property-Casualty Insurers
EDN,nyse,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),35.33,1601.25293415,2007.0,Public Utilities,Electric Utilities: Central
EEQ,nyse,Enbridge Energy Management LLC,17.62,1479.79474982,2002.0,Energy,Oil & Gas Production
ETE,nyse,"Energy Transfer Equity, L.P.",18.4,19857.004552,2006.0,Public Utilities,Natural Gas Distribution
ENS,nyse,Enersys,75.91,3296.78109239,2004.0,Consumer Non-Durables,Telecommunications Equipment
ETM,nyse,Entercom Communications Corporation,13.1,531.5575996,1999.0,Consumer Services,Broadcasting
EVC,nyse,Entravision Communications Corporation,6.1,550.2907478,2000.0,Consumer Services,Broadcasting
EPR,nyse,EPR Properties,75.05,5475.4306552,1997.0,Consumer Services,Real Estate Investment Trusts
ESS,nyse,"Essex Property Trust, Inc.",233.57,15312.39070209,1994.0,Consumer Services,Real Estate Investment Trusts
EL,nyse,"Estee Lauder Companies, Inc. (The)",84.94,31122.51001104,1995.0,Consumer Non-Durables,Package Goods/Cosmetics
ETH,nyse,Ethan Allen Interiors Inc.,29.2,808.5531684,1993.0,Consumer Durables,Home Furnishings
EVR,nyse,Evercore Partners Inc,73.8,3033.901395,2006.0,Finance,Investment Managers
EXAR,nyse,Exar Corporation,12.97,663.9660116499999,1985.0,Technology,Semiconductors
XCO,nyse,EXCO Resources NL,0.5369,151.9234408601,2006.0,Energy,Oil & Gas Production
EXR,nyse,Extra Space Storage Inc,78.1,9833.7500833,2004.0,Consumer Services,Real Estate Investment Trusts
FDS,nyse,FactSet Research Systems Inc.,157.92,6231.25299888,1996.0,Technology,"Computer Software: Programming, Data Processing"
FFG,nyse,"FBL Financial Group, Inc.",63.6,1584.782256,1996.0,Finance,Life Insurance
FII,nyse,"Federated Investors, Inc.",26.24,2667.95680192,1998.0,Finance,Investment Managers
FGP,nyse,"Ferrellgas Partners, L.P.",5.97,580.00141005,1994.0,Consumer Services,Other Specialty Stores
FBR,nyse,Fibria Celulose S.A.,9.12,4998.5808,1997.0,Basic Industries,Paper
FCFS,nyse,"First Cash, Inc.",47.7,2303.418213,1991.0,Consumer Services,Other Specialty Stores
FR,nyse,"First Industrial Realty Trust, Inc.",27.95,3277.8203744,1994.0,Consumer Services,Real Estate Investment Trusts
FPO,nyse,First Potomac Realty Trust,10.69,627.64129653,2003.0,Consumer Services,Real Estate Investment Trusts
FIG,nyse,Fortress Investment Group LLC,7.97,3086.10916885,2007.0,Finance,Investment Managers
FDP,nyse,"Fresh Del Monte Produce, Inc.",58.42,2963.5215812,1997.0,Consumer Non-Durables,Farming/Seeds/Milling
GFA,nyse,Gafisa SA,16.07,16.0841416,2007.0,Basic Industries,Homebuilding
GBL,nyse,"Gamco Investors, Inc.",27.83,816.62634889,1999.0,Finance,Investment Bankers/Brokers/Service
GME,nyse,Gamestop Corporation,22.38,2265.0989572800004,2002.0,Consumer Services,Electronics Distribution
IT,nyse,"Gartner, Inc.",108.93,9848.8231632,1993.0,Consumer Services,Other Consumer Services
BGC,nyse,General Cable Corporation,16.25,808.31398375,1997.0,Basic Industries,Telecommunications Equipment
GEL,nyse,"Genesis Energy, L.P.",31.77,3893.07105117,1996.0,Energy,Oil Refining/Marketing
G,nyse,Genpact Limited,23.83,4584.70155064,2007.0,Consumer Services,Professional Services
GNW,nyse,Genworth Financial Inc,4.0,1995.724252,2004.0,Finance,Life Insurance
GIL,nyse,"Gildan Activewear, Inc.",26.99,6131.66074912,1998.0,Consumer Non-Durables,Apparel
GLP,nyse,Global Partners LP,19.5,662.9134785,2005.0,Energy,Oil Refining/Marketing
GOL,nyse,Gol Linhas Aereas Inteligentes S.A.,30.89,16181.4827779,2004.0,Transportation,Air Freight/Delivery Services
GS,nyse,"Goldman Sachs Group, Inc. (The)",223.32,88840.59047748,1999.0,Finance,Investment Bankers/Brokers/Service
GBX,nyse,"Greenbrier Companies, Inc. (The)",44.1,1252.4534505,1994.0,Capital Goods,Railroads
GHL,nyse,"Greenhill & Co., Inc.",26.1,771.899148,2004.0,Finance,Investment Bankers/Brokers/Service
GPI,nyse,"Group 1 Automotive, Inc.",66.31,1423.91196253,1997.0,Consumer Durables,Automotive Aftermarket
PAC,nyse,"Grupo Aeroportuario Del Pacifico, S.A. de C.V.",100.6,5643.66,2006.0,Transportation,Aerospace
TV,nyse,Grupo Televisa S.A.,25.77,15042.4644,1993.0,Consumer Services,Broadcasting
GES,nyse,"Guess?, Inc.",10.88,900.44632768,1996.0,Consumer Non-Durables,Apparel
HAE,nyse,Haemonetics Corporation,40.15,2087.972645,1991.0,Health Care,Medical/Dental Instruments
HHS,nyse,"Harte-Hanks, Inc.",1.28,78.85085824,1993.0,Technology,Advertising
HDB,nyse,HDFC Bank Limited,77.21,65516.126404120005,2001.0,Finance,Commercial Banks
HR,nyse,Healthcare Realty Trust Incorporated,33.37,3887.61617895,1993.0,Consumer Services,Real Estate Investment Trusts
HLF,nyse,Herbalife LTD.,58.14,5411.9866095,2004.0,Health Care,Other Pharmaceuticals
HT,nyse,Hersha Hospitality Trust,18.74,782.80664284,1999.0,Consumer Services,Real Estate Investment Trusts
HF,nyse,"HFF, Inc.",26.59,1016.47228285,2007.0,Consumer Services,Real Estate
HIW,nyse,"Highwoods Properties, Inc.",50.94,5189.65202466,1994.0,Consumer Services,Real Estate Investment Trusts
HEP,nyse,"Holly Energy Partners, L.P.",35.88,2252.56444764,2004.0,Energy,Natural Gas Distribution
HMN,nyse,Horace Mann Educators Corporation,37.15,1503.54464475,1991.0,Finance,Property-Casualty Insurers
HOS,nyse,Hornbeck Offshore Services,3.6,131.280624,2004.0,Consumer Services,Marine Transportation
HNP,nyse,"Huaneng Power International, Inc.",27.46,10435.06323156,1994.0,Public Utilities,Electric Utilities: Central
HGT,nyse,Hugoton Royalty Trust,2.1,84.0,1999.0,Energy,Oil & Gas Production
HUN,nyse,Huntsman Corporation,23.38,5602.40743664,2005.0,Basic Industries,Major Chemicals
H,nyse,Hyatt Hotels Corporation,53.9,6762.35868,2009.0,Consumer Services,Hotels/Resorts
IEX,nyse,IDEX Corporation,91.72,7000.64465892,1989.0,Capital Goods,Fluid Controls
IBA,nyse,"Industrias Bachoco, S.A. de C.V.",53.54,2677.0,1997.0,Consumer Non-Durables,Meat/Poultry/Fish
ING,nyse,"ING Group, N.V.",14.6,56625.8608958,1997.0,Finance,Commercial Banks
ICE,nyse,Intercontinental Exchange Inc.,59.42,35263.02057718,2005.0,Finance,Investment Bankers/Brokers/Service
IPI,nyse,"Intrepid Potash, Inc",1.81,233.94158414,2008.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
IVR,nyse,INVESCO MORTGAGE CAPITAL INC,15.77,1760.00468393,2009.0,Consumer Services,Real Estate Investment Trusts
JBL,nyse,"Jabil Circuit, Inc.",28.24,5147.882505680001,1993.0,Technology,Electrical Products
JMP,nyse,JMP Group LLC,5.7949,121.4282063527,2007.0,Finance,Investment Bankers/Brokers/Service
JNPR,nyse,"Juniper Networks, Inc.",27.56,10540.78547652,1999.0,Technology,Computer Communications Equipment
KAR,nyse,"KAR Auction Services, Inc",41.92,5731.65545024,2009.0,Consumer Durables,Automotive Aftermarket
KBH,nyse,KB Home,20.09,1713.1434095999998,1986.0,Capital Goods,Homebuilding
KBR,nyse,"KBR, Inc.",14.62,2092.71836442,2006.0,Basic Industries,Military/Government/Technical
KRC,nyse,Kilroy Realty Corporation,73.75,7210.84260375,1997.0,Consumer Services,Real Estate Investment Trusts
KRG,nyse,Kite Realty Group Trust,21.24,1775.2612683599998,2004.0,Consumer Services,Real Estate Investment Trusts
KNL,nyse,"Knoll, Inc.",23.55,1162.565532,2004.0,Consumer Durables,Office Equipment/Supplies/Services
KSS,nyse,Kohl&#39;s Corporation,39.45,6799.4557983,1992.0,Consumer Services,Department/Specialty Retail Stores
KOP,nyse,Koppers Holdings Inc.,40.4,840.4519464,2006.0,Basic Industries,Forest Products
KEP,nyse,Korea Electric Power Corporation,19.84,25473.13457536,1994.0,Public Utilities,Electric Utilities: Central
KFY,nyse,Korn/Ferry International,30.53,1745.13012321,1999.0,Technology,Diversified Commercial Services
KRA,nyse,Kraton Corporation,30.76,952.63972232,2009.0,Basic Industries,Major Chemicals
LVS,nyse,Las Vegas Sands Corp.,55.9,44384.2955686,2004.0,Consumer Services,Hotels/Resorts
LHO,nyse,LaSalle Hotel Properties,28.74,3249.84565434,1998.0,Consumer Services,Real Estate Investment Trusts
LAZ,nyse,Lazard Ltd.,44.61,5788.8653195100005,2005.0,Finance,Investment Managers
LII,nyse,"Lennox International, Inc.",165.23,7010.85859838,1999.0,Capital Goods,Industrial Machinery/Components
LPL,nyse,"LG Display Co., Ltd.",13.54,9689.649156,2004.0,Capital Goods,Industrial Machinery/Components
LL,nyse,"Lumber Liquidators Holdings, Inc",21.56,609.03994536,2007.0,Consumer Services,RETAIL: Building Materials
LUX,nyse,"Luxottica Group, S.p.A.",54.77,26317.39402236,1990.0,Health Care,Ophthalmic Goods
MHO,nyse,"M/I Homes, Inc.",24.61,666.75191303,1993.0,Capital Goods,Homebuilding
MAC,nyse,Macerich Company (The),65.48,9422.88839936,1994.0,Consumer Services,Real Estate Investment Trusts
MIC,nyse,Macquarie Infrastructure Company,78.88,6486.19851504,2004.0,Energy,Oil Refining/Marketing
HZO,nyse,"MarineMax, Inc.",20.7,540.5405903999999,1998.0,Consumer Services,Other Specialty Stores
MKL,nyse,Markel Corporation,961.82,13426.54167912,1986.0,Finance,Property-Casualty Insurers
MLM,nyse,"Martin Marietta Materials, Inc.",210.11,13251.04014716,1994.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
MA,nyse,Mastercard Incorporated,111.22,123330.089602,2006.0,Miscellaneous,Business Services
MMS,nyse,"Maximus, Inc.",57.62,3734.55582908,1997.0,Miscellaneous,Business Services
MBI,nyse,"MBIA, Inc.",8.69,1171.60364926,1987.0,Finance,Property-Casualty Insurers
MNI,nyse,McClatchy Company (The),9.83,74.66932878,1988.0,Consumer Services,Newspapers/Magazines
